,Unnamed: 0,artist,title,train,test
0,0,André Hazes,Kleine Jongen,"kleine jongen
je bent op deze wereld
dus zal je moeten vechten net als ik
ik kan het weten
het leven is niet makkelijk
er is tegenspoed op ieder ogenblik
kleine jongen
er zijn veel goeie mensen
maar slechte zijn er ook helaas t is waar
je moet maar denken
dat jij straks gaat beseffen
dat eerlijk het langste duurt geloof me maar

dit leven gaat voorbij
er is zo weinig tijd dus leef want jij bent vrij
maar doe het wel verstandig maak de mensen blij
dan zul je echt gelukkig zijn
want het leven is zo kort
veel dingen worden anders als je ouder wordt
je speelt nu nog met blokken maar dat duurt niet lang
het is jammer maar je blijft niet klein

kleine jongen
op school al zul je merken
dat alles draait om cijfers en om macht
zo is t leven
dus leer wat je moet leren
want dan ben jij degeen die het laatste lacht
kleine jongen
als jij dan later groot bent
dan is je vader er misschien niet meer
vertel dan
aan je eigen kinderen
de wijze lessen van je ouwe heer

dit leven gaat voorbij
er is zo weinig tijd dus leef want jij bent vrij
maar doe het wel verstandig maak de mensen blij
dan zul je echt gelukkig zijn
want het leven is zo kort
veel dingen worden anders als je ouder wordt
je speelt nu nog met blokken maar dat duurt niet lang
het is jammer maar je blijft niet klein

kleine jongen","kleine jongen
je bent op deze wereld
dus zal je moeten vechten net als ik
ik kan het weten
het leven is niet makkelijk
er is tegenspoed op ieder ogenblik
kleine jongen
er zijn veel goeie mensen
maar slechte zijn er ook helaas t is waar
je moet maar denken
dat jij straks gaat beseffen
dat eerlijk het langste duurt geloof me maar

dit leven gaat voorbij
er is zo weinig tijd dus leef want jij bent vrij
maar doe het wel verstandig maak de mensen blij
dan zul je echt gelukkig zijn
want het leven is zo kort
veel dingen worden anders als je ouder wordt
je speelt nu nog met blokken maar dat duurt niet lang
het is jammer maar je blijft niet klein

kleine jongen
op school al zul je merken
dat alles draait om cijfers en om macht
zo is t leven
dus leer wat je moet leren
want dan ben jij degeen die het laatste lacht
kleine jongen
als jij dan later groot bent
dan is je vader er misschien niet meer
vertel dan
aan je eigen kinderen
de wijze lessen van je ouwe heer

dit leven gaat voorbij"
1,1,André Hazes,"Bloed, Zweet En Tranen","ik heb het goed gedaan
maar ook zo fout gedaan
als ik terug kijk
in de tijd
een lach met tranen
zo voel ik mij vandaag
geproefd van het leven
zoveel vrienden ongekend

met bloed zweet en tranen
zei ik rot hier nu maar op
met bloed zweet en tranen
zei ik vrienden dag vrienden de koek is op

ik heb geluk gekend
maar ook verdriet gekend
hoe vaak
stootte ik mn kop
maar toch ik ben tevreden
met alles wat ik ben
als je roem voorbij is
moet je kijken wie je nog kent

met bloed zweet en tranen
zei ik rot hier nu maar op
met bloed zweet en tranen
zei ik vrienden dag vrienden de koek is op

ik heb het echt gezien
nee ik heb geen trek
ik blijf niet gek dat ik iemand straks nog mis
ik blijf echt alleen
ja echt alleen
geen gezeur meer aan mn kop ach rot nu maar op

met bloed zweet en tranen
zei ik rot hier nu maar op
met bloed zweet en tranen
zei ik vrienden dag vrienden de koek is op
met bloed zweet en tranen
zei ik rot hier nu maar op
met bloed zweet en tranen
zei ik vrienden dag vrienden de koek is op","ik heb het goed gedaan
maar ook zo fout gedaan
als ik terug kijk
in de tijd
een lach met tranen
zo voel ik mij vandaag
geproefd van het leven
zoveel vrienden ongekend

met bloed zweet en tranen
zei ik rot hier nu maar op
met bloed zweet en tranen
zei ik vrienden dag vrienden de koek is op

ik heb geluk gekend
maar ook verdriet gekend
hoe vaak
stootte ik mn kop
maar toch ik ben tevreden
met alles wat ik ben
als je roem voorbij is
moet je kijken wie je nog kent

met bloed zweet en tranen
zei ik rot hier nu maar op
met bloed zweet en tranen
zei ik vrienden dag vrienden de koek is op

ik heb het echt gezien
nee ik heb geen trek
ik blijf niet gek dat ik iemand straks nog mis
ik blijf echt alleen
ja echt alleen
geen gezeur meer aan mn kop ach rot nu maar op"
2,2,André Hazes,Zij Gelooft In Mij,"ze lag te slapen
k vroeg haar gisteravond
wacht op mij
misschien ben ik vanavond vroeger vrij
ze knikte wel van ja
maar zij kent mij 
nu sta ik voor jou
ik ben weer blijven hangen in de kroeg
zon nacht ze weet t heb ik nooit genoeg
hoe was het
dat was alles wat ze vroeg 

want zij gelooft in mij
zij ziet toekomst in ons allebei
ze vraagt nooit maak je voor mij eens vrij
want ze weet dit gaat voorbij
ik schrijf mn eigen lied
tot dat iemand mij ontdekt en ziet
dat een ieder van mijn songs geniet
ze vertrouwt op mij ze gelooft in mij

ik zou wachten
tot de tijd dat ieder mij herkent
en je trots kan zijn op je eigen vent
op straat zullen ze zeggen u bent bekend 
zolang we dromen van t geluk
dat ergens op ons wacht
dan vergeet je snel weer deze nacht
jij vertrouwt op mij dat is mn kracht
oh mn kracht

want zij gelooft in mij
zij ziet toekomst in ons allebei
zij vraagt nooit maak je voor mij eens vrij
want ze weet dit gaat voorbij
ik schrijf mijn eigen lied
tot dat iemand mij ontdekt en ziet
dat een ieder van mijn songs geniet
zij vertrouwt op mij ze gelooft in mij
","ze lag te slapen
k vroeg haar gisteravond
wacht op mij
misschien ben ik vanavond vroeger vrij
ze knikte wel van ja
maar zij kent mij 
nu sta ik voor jou
ik ben weer blijven hangen in de kroeg
zon nacht ze weet t heb ik nooit genoeg
hoe was het
dat was alles wat ze vroeg 

want zij gelooft in mij
zij ziet toekomst in ons allebei
ze vraagt nooit maak je voor mij eens vrij
want ze weet dit gaat voorbij
ik schrijf mn eigen lied
tot dat iemand mij ontdekt en ziet
dat een ieder van mijn songs geniet
ze vertrouwt op mij ze gelooft in mij

ik zou wachten
tot de tijd dat ieder mij herkent
en je trots kan zijn op je eigen vent
op straat zullen ze zeggen u bent bekend 
zolang we dromen van t geluk
dat ergens op ons wacht
dan vergeet je snel weer deze nacht
jij vertrouwt op mij dat is mn kracht
oh mn kracht

want zij gelooft in mij"
3,3,André Hazes,Zeg Maar Niets Meer,"zeg maar niets meer
ik ga wel weg als je dat wilt
zeg maar niets meer
laat me maar gaan
wees nu maar stil

maar dit is de laatste keer
ik weet jij kijkt nu op me neer
maar straks als het beter gaat
hoop ik dat je voor me staat

ach zeg maar niets meer
ik ga wel weg dan ben je vrij
zeg maar niets meer
jij was al maanden niet van mij

maar dit is de laatste keer
ik weet jij kijkt nu op me neer
maar als het straks beter gaat
hoop ik dat je voor me staat
en dan zie ik jou niet staan
en zeg dat je beter kunt gaan
je zei ik blijf je trouw
ik heb nooit geloofd in jou

oh dit is de laatste keer
ik weet jij kijkt nu op me neer
maar als het mij straks beter gaat
hoop ik dat je voor me staat
maar dan zie ik jou niet meer staan
en zeg dat je beter kunt gaan
je zei ik blijf je trouw
ik heb nooit geloofd in jou
oh dit is de laatste keer
ik weet jij kijkt op me neer
maar als het strakjes beter gaat
hoop ik dat je voor me staat
oh nee dan zie ik jou niet staan
en zeg dat je beter kunt gaan
je zei me ik blijf je trouw","zeg maar niets meer
ik ga wel weg als je dat wilt
zeg maar niets meer
laat me maar gaan
wees nu maar stil

maar dit is de laatste keer
ik weet jij kijkt nu op me neer
maar straks als het beter gaat
hoop ik dat je voor me staat

ach zeg maar niets meer
ik ga wel weg dan ben je vrij
zeg maar niets meer
jij was al maanden niet van mij

maar dit is de laatste keer
ik weet jij kijkt nu op me neer
maar als het straks beter gaat
hoop ik dat je voor me staat
en dan zie ik jou niet staan
en zeg dat je beter kunt gaan
je zei ik blijf je trouw
ik heb nooit geloofd in jou

oh dit is de laatste keer
ik weet jij kijkt nu op me neer
maar als het mij straks beter gaat
hoop ik dat je voor me staat
maar dan zie ik jou niet meer staan
en zeg dat je beter kunt gaan
je zei ik blijf je trouw"
4,4,André Hazes,Ik Leef m’n Eigen Leven,"ik sluit mn ogen en denk na
en alles gaat dan door me heen
dan zie ik heel mn leven
ik heb veel genoten maar ook heel veel gehuild
maar dat zal me echt nooit spijten
het was altijd drank en vrienden om me heen
er waren altijd feesten
maar het was leven zoals ik dat toen wou
daar had ik voor gekozen
we gingen wel eens door
de nachten waren lang dan viel je zo je bed in
geen cent op zak geen kruimel meer in huis
maar toch bleef je maar lachen
ik kijk nu terug en toch heb ik geen spijt
het waren mooie jaren
want wat ik deed nooit deed ik iemand kwaad ermee
het is mijn eigen leven
ik begrijp ook niet waar een ander zich zo druk om maakt
het is mijn leven zoals ik het wil leven
ik maak nooit ruzie laat mij nu toch met rust

ik leef mn leven zoals ik dat wil
ik bemoei me toch ook niet met een ander
ik leef mn leven zoals ik dat wil
laat me gaan voordat ik nu toch verander
laat mij nu gaan laat mij nu gaan oh

ik kijk nu terug en toch heb ik geen spijt
het waren mooie jaren
want wat ik deed nooit deed ik iemand kwaad ermee
het is mijn eigen leven
ik begrijp ook niet waar een ander zich zo druk om maakt
het is mijn leven zoals ik het wil leven
ik maak nooit ruzie laat mij nu toch met rust

ik leef mn leven zoals ik dat wil
ik bemoei me toch ook niet met een ander
ik leef mn leven zoals ik dat wil
laat me gaan voordat ik nu toch verander
laat mij nu gaan laat mij nu gaan oh

ohohohohohohoh
nanananananana
ohohohohohohoh","ik sluit mn ogen en denk na
en alles gaat dan door me heen
dan zie ik heel mn leven
ik heb veel genoten maar ook heel veel gehuild
maar dat zal me echt nooit spijten
het was altijd drank en vrienden om me heen
er waren altijd feesten
maar het was leven zoals ik dat toen wou
daar had ik voor gekozen
we gingen wel eens door
de nachten waren lang dan viel je zo je bed in
geen cent op zak geen kruimel meer in huis
maar toch bleef je maar lachen
ik kijk nu terug en toch heb ik geen spijt
het waren mooie jaren
want wat ik deed nooit deed ik iemand kwaad ermee
het is mijn eigen leven
ik begrijp ook niet waar een ander zich zo druk om maakt
het is mijn leven zoals ik het wil leven
ik maak nooit ruzie laat mij nu toch met rust

ik leef mn leven zoals ik dat wil
ik bemoei me toch ook niet met een ander
ik leef mn leven zoals ik dat wil
laat me gaan voordat ik nu toch verander
laat mij nu gaan laat mij nu gaan oh

ik kijk nu terug en toch heb ik geen spijt
het waren mooie jaren
want wat ik deed nooit deed ik iemand kwaad ermee
het is mijn eigen leven
ik begrijp ook niet waar een ander zich zo druk om maakt
het is mijn leven zoals ik het wil leven
ik maak nooit ruzie laat mij nu toch met rust
"
5,5,André Hazes,Wat Is Dan Liefde,"kom draai je om kijk me aan
nee ik laat je niet gaan
kun je mij niet vergeven
toe t was voor mij maar een spel
droog je tranen nu snel
k wil met jou verder leven
echt ik hou zoveel van jou
ik toon nu toch berouw
zet me niet in de kou

liefde wat is dan liefde
vergeven hoort ook bij de liefde
smekend hier op mijn knieen
vraag ik laat mij niet alleen

heus nooit maak ik meer die fout
k ben met jou nog getrouwd
laat t altijd zo blijven
wat ook een ander je zegt
ik ben echt niet zo slecht
ook zij maken wel fouten
toe geef nog een keer een kans
t wordt mijn laatste romance
k laat je nooit meer alleen

liefde wat is dan liefde
vergeven hoort ook bij de liefde
smekend hier op mn knieen
vraag ik laat mij niet alleen staan
liefde wat is dan liefde
vergeven hoort ook bij de liefde
liefde dit is mijn liefde
liefde beantwoord mijn liefde

lala
lalalala","kom draai je om kijk me aan
nee ik laat je niet gaan
kun je mij niet vergeven
toe t was voor mij maar een spel
droog je tranen nu snel
k wil met jou verder leven
echt ik hou zoveel van jou
ik toon nu toch berouw
zet me niet in de kou

liefde wat is dan liefde
vergeven hoort ook bij de liefde
smekend hier op mijn knieen
vraag ik laat mij niet alleen

heus nooit maak ik meer die fout
k ben met jou nog getrouwd
laat t altijd zo blijven
wat ook een ander je zegt
ik ben echt niet zo slecht
ook zij maken wel fouten
toe geef nog een keer een kans
t wordt mijn laatste romance
k laat je nooit meer alleen

liefde wat is dan liefde
vergeven hoort ook bij de liefde
smekend hier op mn knieen"
6,6,André Hazes,De Vlieger,"mn zoon was gisteren jarig
hij werd acht jaar oud mn schat
hij vroeg aan mij een vlieger
en die heeft hij ook gehad
naar zn bal zn fiets zn treinen
nee daar keek hij niet naar om
want zn vlieger was hem alles
alleen wist ik niet waarom
en toen de andere morgen
zei hij vader ga je mee
de wind die is nu gunstig
dus ik neem mn vlieger mee
in zn ene hand een vlieger
in de andere een brief
ik kon het niet begrijpen
maar toen zei mn zoontjelief

ik heb hier een brief voor mn moeder
die hoog in de hemel is
deze brief bind ik vast aan mn vlieger
tot zij hem ontvangt zij die ik mis
en als zij dan leest hoeveel ik van haar hou
dat ik niet kan wennen aan die andere vrouw
ik heb hier een brief voor mn moeder
die hoog in de hemel is

ik heb hier een brief voor mn moeder
die hoog die hoog in de hemel is
deze brief bind ik vast aan mn vlieger
tot zij hem ontvangt zij zij die ik mis

ik heb hier een brief voor mn moeder
die hoog in de hemel is
deze brief bind ik vast aan mn vlieger
tot zij m ontvangt zij die ik mis
en als zij dan leest hoeveel ik van haar hou
dat ik niet kan wennen aan die andere vrouw
ik heb hier een brief voor mn moeder
die hoog in de hemel is","mn zoon was gisteren jarig
hij werd acht jaar oud mn schat
hij vroeg aan mij een vlieger
en die heeft hij ook gehad
naar zn bal zn fiets zn treinen
nee daar keek hij niet naar om
want zn vlieger was hem alles
alleen wist ik niet waarom
en toen de andere morgen
zei hij vader ga je mee
de wind die is nu gunstig
dus ik neem mn vlieger mee
in zn ene hand een vlieger
in de andere een brief
ik kon het niet begrijpen
maar toen zei mn zoontjelief

ik heb hier een brief voor mn moeder
die hoog in de hemel is
deze brief bind ik vast aan mn vlieger
tot zij hem ontvangt zij die ik mis
en als zij dan leest hoeveel ik van haar hou
dat ik niet kan wennen aan die andere vrouw
ik heb hier een brief voor mn moeder
die hoog in de hemel is

ik heb hier een brief voor mn moeder
die hoog die hoog in de hemel is
deze brief bind ik vast aan mn vlieger
tot zij hem ontvangt zij zij die ik mis
"
7,7,André Hazes,Uit mijn bol,"soms denk ik bij mn eigen
wat moet ik hier weer mee
ze kunnen het heen en weer krijgen
t is nooit goed t is altijd nee
maar ik heb t al bekeken
vandaag dat wordt mn dag
dat ik me lekker uit ga leven
en alles kan en mag

oh vanavond ga ik even uit mn bol
gooi alles van me af en giet me vol
want ik hou van t leven
al moet ik soms ook geven
maar vanavond telt alleen voor mij de lol
oh ik zet de zorgen even aan de kant
en denk niet aan verdriet of trammelant
ja lachen gieren brullen
toe laat mn glas maar vullen
want vanavond ga ik even uit mn bol
je moet genieten van het leven
trek je van n ander toch niets aan
want die weer t altijd beter
maar laat ze zelf naar hun eigen kijken

oh vanavond ga ik even uit mn bol
gooi alles van me af en giet me vol
want ik hou van t leven
al moet ik soms ook geven
maar vanavond telt alleen voor mij de lol
oh ik zet de zorgen even aan de kant
en denk niet aan verdriet of trammelant
ja lachen gieren brullen
toe laat mn glas maar vullen
want vanavond ga ik even uit mn bol

je moet genieten van het leven
trek je van n ander toch niets aan
want die weer t altijd beter
maar laat ze zelf naar hun eigen kijken

oh vanavond ga ik even uit mn bol
gooi alles van me af en giet me vol
want ik hou van t leven
al moet ik soms ook geven
maar vanavond telt alleen voor mij de lol
oh ik zet de zorgen even aan de kant
en denk niet aan verdriet of trammelant
ja lachen gieren brullen
toe laat mn glas maar vullen
want vanavond ga ik even uit mn bol
o lalalalalalalaah","soms denk ik bij mn eigen
wat moet ik hier weer mee
ze kunnen het heen en weer krijgen
t is nooit goed t is altijd nee
maar ik heb t al bekeken
vandaag dat wordt mn dag
dat ik me lekker uit ga leven
en alles kan en mag

oh vanavond ga ik even uit mn bol
gooi alles van me af en giet me vol
want ik hou van t leven
al moet ik soms ook geven
maar vanavond telt alleen voor mij de lol
oh ik zet de zorgen even aan de kant
en denk niet aan verdriet of trammelant
ja lachen gieren brullen
toe laat mn glas maar vullen
want vanavond ga ik even uit mn bol
je moet genieten van het leven
trek je van n ander toch niets aan
want die weer t altijd beter
maar laat ze zelf naar hun eigen kijken

oh vanavond ga ik even uit mn bol
gooi alles van me af en giet me vol
want ik hou van t leven
al moet ik soms ook geven
maar vanavond telt alleen voor mij de lol
oh ik zet de zorgen even aan de kant
en denk niet aan verdriet of trammelant
ja lachen gieren brullen
toe laat mn glas maar vullen
want vanavond ga ik even uit mn bol

je moet genieten van het leven
trek je van n ander toch niets aan
want die weer t altijd beter
maar laat ze zelf naar hun eigen kijken

oh vanavond ga ik even uit mn bol"
8,8,André Hazes,Het Laatste Rondje,"de kastelein schenkt nog wat in
en kijk dan op zn klok
het is de hoogste tijd
iedereen drinkt snel zn glas leeg
de laatste wordt getapt
n jukebox die plots zweeg
t is de hoogste tijd wordt er geroepen
uit de hoek
de bonnen liggen klaar
ach mag ik vanavond poffen
vraagt n mannenstem
betaal jij morgen maar
het is tijd de hoogste tijd
u wordt bedankt voor weer n avond gezelligheid
dag mevrouw en dag meneer
u komt hier toch weer

er wordt aan de bel getrokken
de laatste is van mij
dan gaan we snel naar huis
wie denkt er aan mij
ik heb toch ook n huis

aan de tafel in de hoek
daar zit n man alleen
en staart voor zich uit
straks wordt hij weer snel vergeten
hij denkt waar kan ik heen
ik heb geen rooie duit

het is tijd de hoogte tijd
u wordt bedankt voor weer n avond gezelligheid
dag mevrouw en dag meneer
u komt hier toch weer

de kelner roept kom op nou mensen
t is de hoogste tijd
ook ik heb n gezin
want zij weet hoe laat we sluiten
kom ik thuis te laat
mag ik er niet meer in
nog n mop en even lachen dan is het voorbij
de zaak die is nu leeg
lege flessen en wat pindas liggen op de grond
de jukebox die plots zweeg

het is tijd de hoogste tijd
u wordt bedankt voor weer n avond gezelligheid
dag mevrouw en dag meneer
u kom hier toch weer","de kastelein schenkt nog wat in
en kijk dan op zn klok
het is de hoogste tijd
iedereen drinkt snel zn glas leeg
de laatste wordt getapt
n jukebox die plots zweeg
t is de hoogste tijd wordt er geroepen
uit de hoek
de bonnen liggen klaar
ach mag ik vanavond poffen
vraagt n mannenstem
betaal jij morgen maar
het is tijd de hoogste tijd
u wordt bedankt voor weer n avond gezelligheid
dag mevrouw en dag meneer
u komt hier toch weer

er wordt aan de bel getrokken
de laatste is van mij
dan gaan we snel naar huis
wie denkt er aan mij
ik heb toch ook n huis

aan de tafel in de hoek
daar zit n man alleen
en staart voor zich uit
straks wordt hij weer snel vergeten
hij denkt waar kan ik heen
ik heb geen rooie duit

het is tijd de hoogte tijd
u wordt bedankt voor weer n avond gezelligheid
dag mevrouw en dag meneer
u komt hier toch weer

de kelner roept kom op nou mensen
t is de hoogste tijd
ook ik heb n gezin
want zij weet hoe laat we sluiten
kom ik thuis te laat"
9,9,André Hazes,Eenzame Kerst,"ik zit hier heel alleen kerstfeest te vieren
de straf die ik verdiend heb zit ik uit
ik stal voor ons gezin maar dat had toch geen zin
want jij viert nu kerstfeest met een ander
hoe heb je mij zo snel kunnen vergeten
waarom zit er nu een ander op mn stoel
ik ben zo eenzaam hier in die koude kille cel
kun jij echt niet begrijpen wat ik voel

nu zit je bij de kerstboom met een ander
mn kinderen die zingen stille nacht
ja stil zal t voor mij zeer zeker wezen
met niets wat mijn verdriet verzacht

mn medemensen kregen een pakketje
met de kerstwens vader kom toch gauw weer thuis
ik kreeg t mijne niet dat doet me veel verdriet
niet welkom zijn in je eigen huis
misschien mag ik mn kinderen nog wat geven
wat geven uit t diepste van mn hart
vergeten kan ik niet daarom dit kerstfeestlied
een lied zo vol met smart

voor mij zullen hier geen kaarsen branden
ik voel mij als een kerstboom zonder piek
ik voel me zo alleen waar moet ik straks toch heen
in gedachten hoor ik kerstmuziek

ik zit hier heel alleen kerstfeest te vieren
de straf die ik verdiend heb zit ik uit
ik stal voor ons gezin maar dat had toch geen zin
want jij viert nu kerstfeest met een ander
misschien mag ik mn kinderen nog wat geven
wat geven uit t diepste van mn hart
vergeten kan ik niet daarom dit kerstfeestlied
een lied zo vol met smart","ik zit hier heel alleen kerstfeest te vieren
de straf die ik verdiend heb zit ik uit
ik stal voor ons gezin maar dat had toch geen zin
want jij viert nu kerstfeest met een ander
hoe heb je mij zo snel kunnen vergeten
waarom zit er nu een ander op mn stoel
ik ben zo eenzaam hier in die koude kille cel
kun jij echt niet begrijpen wat ik voel

nu zit je bij de kerstboom met een ander
mn kinderen die zingen stille nacht
ja stil zal t voor mij zeer zeker wezen
met niets wat mijn verdriet verzacht

mn medemensen kregen een pakketje
met de kerstwens vader kom toch gauw weer thuis
ik kreeg t mijne niet dat doet me veel verdriet
niet welkom zijn in je eigen huis
misschien mag ik mn kinderen nog wat geven
wat geven uit t diepste van mn hart
vergeten kan ik niet daarom dit kerstfeestlied
een lied zo vol met smart

voor mij zullen hier geen kaarsen branden
ik voel mij als een kerstboom zonder piek
ik voel me zo alleen waar moet ik straks toch heen
in gedachten hoor ik kerstmuziek
"
